Time, Aileron Cmd, Elevator Cmd, Rudder Cmd, Flap Cmd, Left Aileron Pos, Right Aileron Pos, Elevator Pos, Rudder Pos, Flap Pos, P, Q, R, Pdot, Qdot, Rdot, QBar, Vtotal, UBody, VBody, WBody, UAero, VAero, WAero, Vn, Ve, Vd, Drag, Side, Lift, L/D, Xforce, Yforce, Zforce, xGravity, yGravity, zGravity, xCoriolis, yCoriolis, zCoriolis, xCentrifugal, yCentrifugal, zCentrifugal, L, M, N, Altitude, Phi, Tht, Psi, Alpha, Beta, Latitude (Deg), Longitude (Deg), Distance AGL, Runway Radius, Pitch Trim Sum, Elevator Control, Roll Trim Sum, Left Aileron Control, Right Aileron Control, Rudder Command Sum, Rudder Control, Flaps Control, Gear Control, Speedbrake Control
1.99167, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.00557155 , -4.41728e-05 , 0.000623366, 0.160387 , 0.0176988 , -0.0137055, 0.000391191, 0.573707, 0.00555622 , -0.573668 , 0.00373512, 0.00555622 , -0.573668 , 0.00373512, 0.294867 , -0.279909 , 0.00164639, -0.765122 , 0.931151 , -0.573186, 0.749143, -2177.72 , -68529.7 , 865.092, 0 , 0 , 32.1148, 0 , 1.60818e-05 , 0, 0 , 0 , -0.110652, 587642 , 42213.6 , -81778.2, 9.01017, -0.000154485 , 0.00370083 , 0.784659, 0.591852, -1.55913, 47, 122, 9.01017, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
2.09167, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00630937 , 0.000629888 , 0.000731903, -0.156875 , 0.0214538 , 0.000913389, 0.000512637, 0.656752, 0.00317493 , 0.656706 , 0.00704199, 0.00317493 , 0.656706 , 0.00704199, -0.342954 , 0.348782 , 0.00618645, -1.87879 , -1.35882 , -0.614747, 0.327204, -240.161 , 68662.3 , 367.288, 0 , 0 , 32.1148, 0 , -2.01801e-05 , 0, 0 , 0 , -0.110685, -574776 , 51186.8 , 5452.98, 9.00964, 0.000111658 , 0.00365264 , 0.784709, 1.14723, 1.55903, 47, 122, 9.00964, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
2.19167, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.00590627 , 0.00142841 , -0.00014144, 0.15583 , 0.0190225 , -0.00742807, 0.000384686, 0.568917, -0.0148833 , -0.568634 , 0.0100369, -0.0148833 , -0.568634 , 0.0100369, 0.272254 , -0.301172 , 0.00960116, -1.63899 , 0.912211 , -0.423659, 0.258487, 2186.61 , -66848.7 , 244.41, 0 , 0 , 32.1148, 0 , 1.44484e-05 , 0, 0 , 0 , -0.110651, 570946 , 45379.5 , -44330, 9.00881, -0.000211525 , 0.00371237 , 0.784747, 2.54828, -1.53924, 47, 122, 9.00881, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
2.29167, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00616569 , 0.00296993 , -4.88722e-06, -0.151132 , 0.025912 , 0.00114755, 0.000561167, 0.687135, -0.0232746 , 0.686534 , 0.0168331, -0.0232746 , 0.686534 , 0.0168331, -0.390555 , 0.350661 , 0.0169437, -2.73329 , -1.51712 , -0.708455, 0.259195, 2192.02 , 66557.1 , 16.3624, 0 , 0 , 32.1148, 0 , -2.42361e-05 , 0, 0 , 0 , -0.110685, -553736 , 61813.5 , 6864.56, 9.00735, 7.16476e-05 , 0.00395232 , 0.784734, 2.51544, 1.52898, 47, 122, 9.00735, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
2.39167, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.00629218 , 0.00327543 , 2.03423e-05, 0.154893 , 0.0164619 , 0.00102488, 0.000396044, 0.577255, -0.0259225 , -0.576444 , 0.016252, -0.0259225 , -0.576444 , 0.016252, 0.269647 , -0.314174 , 0.0168382, -1.68909 , 0.930534 , -0.441074, 0.26113, 2196.09 , -67033.1 , -148.669, 0 , 0 , 32.1148, 0 , 1.41384e-05 , 0, 0 , 0 , -0.110649, 567515 , 39270.1 , 6095.31, 9.00561, -0.000218005 , 0.00426628 , 0.784731, 2.58159, -1.51777, 47, 122, 9.00561, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
2.49167, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00597462 , 0.00303617 , -0.000177347, -0.155951 , 0.0153793 , -0.00305704, 0.000558084, 0.685244, -0.0202796 , 0.684832 , 0.0123942, -0.0202796 , 0.684832 , 0.0123942, -0.384906 , 0.34922 , 0.0129836, -2.68587 , -1.49478 , -0.694306, 0.258503, 2196.56 , 67913.2 , -173.128, 0 , 0 , 32.1148, 0 , -2.41879e-05 , 0, 0 , 0 , -0.110685, -571391 , 36686 , -18223.6, 9.00411, 9.57216e-05 , 0.00457596 , 0.784729, 2.593, 1.53611, 47, 122, 9.00411, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
2.59167, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.00624747 , 0.00238609 , 9.25333e-05, 0.147353 , 0.0104229 , 0.00332434, 0.000373232, 0.560383, -0.0148597 , -0.560133 , 0.00769337, -0.0148597 , -0.560133 , 0.00769337, 0.270599 , -0.299528 , 0.00831993, -1.62053 , 0.902216 , -0.418753, 0.258406, 2197.07 , -64321.7 , -185.579, 0 , 0 , 32.1148, 0 , 1.31962e-05 , 0, 0 , 0 , -0.11065, 539888 , 24863.2 , 19821.3, 9.00305, -0.00018834 , 0.00483765 , 0.784718, 2.66386, -1.54093, 47, 122, 9.00305, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
2.69167, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00630789 , 0.0020381 , -0.000148703, -0.181366 , 0.029324 , -0.00251432, 0.000651116, 0.740159, -0.0118404 , 0.740054 , 0.00394549, -0.0118404 , 0.740054 , 0.00394549, -0.394793 , 0.382409 , 0.00427021, -3.03891 , -1.71153 , -0.776103, 0.255389, -1102.28 , 78055.3 , -90.9632, 0 , 0 , 32.1148, 0 , -2.6857e-05 , 0, 0 , 0 , -0.110689, -664511 , 69951.7 , -14991.7, 9.00244, 0.000103133 , 0.00503859 , 0.784721, 2.81994, 1.55393, 47, 122, 9.00244, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
2.79167, 0, 0, 0, 0, 0, -0, 0, 0, 0, 0.00521699 , 0.00124813 , 0.000105385, 0.203425 , 0.00872967 , 0.00213044, 0.000160189, 0.367123, -0.00359026 , -0.367101 , 0.00179996, -0.00359026 , -0.367101 , 0.00179996, 0.11129 , -0.12021 , 0.00232623, -0.266373 , 0.149902 , -0.0689519, 0.258855, 1072.09 , -83343.7 , -183.168, 0 , 0 , 32.1148, 0 , -1.75329e-06 , 0, 0 , 0 , -0.110666, 745331 , 20824.1 , 12706.8, 9.00212, -0.000287593 , 0.00518782 , 0.78471, 2.67687, -1.55986, 47, 122, 9.00212, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
2.89167, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0.00361138 , 0.000654601 , -0.000115608, -0.218084 , -0.00294973 , -0.00184494, 0.000213612, 0.423944, -6.33173e-05 , 0.423944 , -0.000266665, -6.33173e-05 , 0.423944 , -0.000266665, -0.151245 , 0.147379 , 0.000144724, -0.446475 , -0.253395 , -0.114561, 0.256589, 1153.34 , 87189.5 , -145.325, 0 , 0 , 32.1148, 0 , -2.11203e-06 , 0, 0 , 0 , -0.110666, -799039 , -7037.04 , -11007, 9.00202, 0.000196575 , 0.0052868 , 0.784717, -1.80392, 1.57015, 47, 122, 9.00202, 2.09256e+07,  0.000000,  0.000000,  0.000000,  0.000000, -0.000000,  0.000000,  0.000000,  0.000000,  1.000000,  0.000000
